obs,GNP,Melanoma
1936,193,1
1937,203.2,0.8
1938,192.9,0.8
1939,209.4,1.4
1940,227.2,1.2
1941,263.7,1
1942,297.8,1.5
1943,337.1,1.9
1944,361.3,1.5
1945,355.2,1.5
1946,312.6,1.5
1947,309.9,1.6
1948,323.7,1.8
1949,324.1,2.8
1950,355.3,2.5
1951,383.4,2.5
1952,395.1,2.4
1953,412.8,2.1
1954,407,1.9
1955,438,2.4
1956,446.1,2.4
1957,452.5,2.6
1958,447.3,2.6
1959,475.9,4.4
1960,487.7,4.2
1961,497.2,3.8
1962,529.8,3.4
1963,551,3.6
1964,581.1,4.1
1965,617.8,3.7
1966,658.1,4.2
1967,675.2,4.1
1968,706.6,4.1
1969,725.6,4
1970,722.5,5.2
1971,746.3,5.3
1972,792.5,5.3
