obs,Long,Short
1952Q2,4.23,2.32
1952Q3,4.36,2.47
1952Q4,4.19,2.42
1953Q1,4.13,2.4
1953Q2,3.94,2.38
1953Q3,3.98,2.35
1953Q4,3.8,2.1
1954Q1,3.79,2.1
1954Q2,3.71,2.05
1954Q3,3.35,1.56
1954Q4,3.35,1.59
1955Q1,3.64,2.36
1955Q2,4.15,3.9
1955Q3,4.47,3.97
1955Q4,4.5,4.07
1956Q1,4.84,4.07
1956Q2,4.85,5.01
1956Q3,5.27,4.98
1956Q4,5.33,4.99
1957Q1,4.91,4.55
1957Q2,5.11,3.91
1957Q3,5.6,3.85
1957Q4,5.84,6.6
1958Q1,5.66,6.13
1958Q2,5.45,5.18
1958Q3,5.46,4.16
1958Q4,5.35,3.58
1959Q1,5.2,3.11
1959Q2,5.22,3.28
1959Q3,5.13,3.48
1959Q4,5.06,3.39
1960Q1,5.34,4.54
1960Q2,5.59,4.65
1960Q3,5.97,5.55
1960Q4,5.97,5.08
1961Q1,6.01,4.17
1961Q2,6.01,4.4
1961Q3,6.52,6.69
1961Q4,6.33,5.73
1962Q1,6.35,5.25
1962Q2,6.24,4.05
1962Q3,5.98,3.89
1962Q4,5.37,3.86
1963Q1,5.54,3.49
1963Q2,5.5,3.71
1963Q3,5.2,3.76
1963Q4,5.26,3.75
1964Q1,5.64,3.75
1964Q2,5.93,4.3
1964Q3,6.02,4.65
1964Q4,6.06,4.7
1965Q1,6.41,6.55
1965Q2,6.61,6.38
1965Q3,6.8,5.63
1965Q4,6.37,5.44
1966Q1,6.52,5.49
1966Q2,6.78,5.64
1966Q3,7.29,6.68
1966Q4,6.96,6.51
1967Q1,6.58,6.08
1967Q2,6.46,5.41
1967Q3,6.92,5.35
1967Q4,7,5.73
1968Q1,7.28,7.52
1968Q2,7.34,7.08
1968Q3,7.63,7.06
1968Q4,7.7,6.5
1969Q1,8.47,6.73
1969Q2,8.9,7.8
1969Q3,9.19,7.83
1969Q4,8.95,7.75
1970Q1,8.98,7.51
1970Q2,9.33,6.77
1970Q3,9.11,6.82
1970Q4,9.4,6.81
