obs,pob
1950,8434065
1951,8650853
1952,8857317
1953,9063781
1954,9280569
1955,9487033
1956,9703820
1957,9930931
1958,10147718
1959,10323213
1960,10529677
1961,10742833
1962,11008252
1963,11221408
1964,11443787
1965,11670264
1966,11939783
1967,12091451
1968,12306657
1969,12566952
1970,12817000
1971,13067000
1972,13304000
1973,13505000
1974,13723000
1975,13893000
1976,14033000
1977,14192000
1978,14359000
1979,14516000
1980,14695000
1981,14923000
1982,15184000
1983,15393000
1984,15579000
1985,15788000
1986,16018000
1987,16264000
1988,16538000
1989,16833000
1990,17085000
1991,17284000
1992,17489000
1993,17657000
1994,17838000
1995,18072000
1996,18311000
1997,18524000
1998,18730000
1999,18937000
2000,19157000
